AUTHOR,TOTAL BOOKS,BOOK TITLES
"Dewan, Rajesh K.",2,"Sample papers : Mathematics,Together with MAthematicss with solution: support material for CBSE examination 2016"
"Dey, R",1,Question bank in Biology
"Dhall, G D",1,Mathematics
Dhami.P.S; Dr.Chopra.G; Dr. Srivastava H.N,3,"Pradeep''s A textbook of Biology .vol 1 class 11,Pradeep''s A textbook of Biology .vol 1 class 11,Pradeep''s A textbook of Biology 12"
"Dhanwan, S.N.'Kheterpal,S.C. & Kapil, P.N.",2,"Pradeep''s new cource chemistry, Vol.1,Pradeep''s new cource chemistry, Vol.2"
"Dhar, M and Dhar, S",3,"Science can be fun,Science can be fun,Science can be fun"
Dharmarajan Geeta,2,"Earthsong,The magical web bridge"
"Dhawan, Prem",1,"Target chemistry,Class 12"
"Dhawan, S N., Kheterpal, S C and Mehta, J R",2,"Objective Chemistry Vol.1 For Jee and jee Advanced,Objective Chemistry Vol.2 For Jee and jee Advanced"
"Dhawan, S.N,; Kheterpal, S.C. And Kapil, P.N.",2,"New chemistry chemistry with value based questions, 13th ed.,  Vol.1,New chemistry chemistry with value based questions, 13th ed.,  Vol.2"
"Dhillon, D P and Garg, P K",3,"Connect with Grammar and Composition,Grammar and Composition 7,Perfect Problem solving Assessment"
"Dhilon, D P",1,Perfect Problem solving Assessment
"Dhilon, R.S.",4,"Connect With Grammar And Composition,Problem solving assessment,Problem solving assessment,Problem solving assessment"
"Dickens, C",3,"A christmas carol,Great expectations,Oliver Twist"
"Dickens, Charles",7,"Christmas carol,Christmas Carol,David copperfield::Immortal illustrated classics,David copperfield::Immortal illustrated classics,Great expectation:: Immortal illustrated Classics,Oliver twist:Immortal illustrated classics,Tale of two citie::Immortal illustrated classics"
Dictionary,1,Dictionary:computer and IT defination
Directory,1,Website Directory
"Dixit, J B",4,"Comprehensive CBSE Computer science,Examguru CBSE Term 2,Mathematics : Activities and Projercts,Mathematics: Activity and Projects"
Dixon Franklin,5,"The Hardy boys : footprints under the window 12,The hardy boys :The hidden harbor mystery 14,The Hardy Boys :The Sinister Signpost 15,The Hardy boys: While the clock ticked 11,The hardy boys:the mark on the door 13"
"Doel, D.K.",1,"Analysis of financial statements, part B : Class 12"
"Doel, D.K.; Goel, Rajesh",3,"Accountancy,Accountancy part A : Class 12,Problems & solutiona in accountancy"
"Dogra, S",5,"ABD'S Interactive English,Interactive English,Interactive english,Interactive english,Interactive english"
"Dosaij, C L and Chand, P",1,Fundamentals of National Income Accounting
"Dosajh, C L",1,Fundamentals of National Income Accounting
"Doshi, D M",14,"Environmental Studies: Integrated with Environmental Education,General Knowledge,General Knowledge,General Knowledge,General Knowledge,General Knowledge,General Knowledge Update,Living science : physics,Living Science Physics,Living Science physics 10,Living Science Physics 9,Science Today,Science Today,Science Today"
"Doshi, D.",1,My Green world Environmental  Studies
"Doshi, D. m.",1,General Knowledge update
"Doshi, Dhiren M.",1,Enviornmental studies
"Doshi, DM",1,General Knowledge Update
"Doshi, G S",1,Science: Lab Manul & Practical Skills
Doyle A C,4,"Sherlock Holmes,Sherlock Holmes : selected short stories,The adventures of Sherlock Holmes,The Hound of the Baskervilles: Arthur convan Doyle"
"Doyle, Arthur Conan",1,Adventures of Sherlock Holmes
Dr Hukum Singh,2,"Mathematics practice book 10,Mathematics practice book 9"
Dr. Arora Sangeeta,3,"Examguru Mathematics 10,Gyanoday : Pathyapustak 6,Kalptaru : pathmala 5"
Dr. J M D'souza,1,Eureka plus : bringing scinece to life 7
Dr. Ruchi seth,1,Sea of stories : an anthology
"Dr.B.B.Arora, A.K.Sabharwal",2,"Modern''s abc of Biology part 1,Modern''s abc of Biology part 2"
Dr.Gomber.K.L; Gogia.K.L,2,"Pradeep''s funadamental physics vol.1 class 11,Pradeep''s funadamental physics vol.1 class 11"
Dr.Kheterpal.S.C; Dr.Dhawan; Kapil.P.N,2,"Pradeep''s new course Chemistry vol.1,Pradeep''s new course Chemistry vol.1"
Dr.S.P.Jauhar,2,"Modern''s abc of Chemistry part 1,Modern''s abc of Chemistry part 2"
"Drivedi, Rameshwar Prasad",2,"Aao Vyakaran Sikhe,Full Marks Social Science"
"Dubet, V",1,Exam Mantra sample Question papers Mathematics
"Dubey, M",2,"Mathematics,Mathematics"
"Dubey, M and Tomar, R S",1,Mathematics
Dudeja Ved,1,Mathematics Success 6
"Dudpuri, Aknasha",6,"Start up maths lab activity,Start up maths lab activity,Start up maths lab activity,Start up science 6,Start up science 7,Start up science 7"
"Duggal, G",1,Geography
"Duggal, J.",2,"Life skills and Values,What's up 3"
"Duggal,G.",1,Our Splendid World
Dumas Alexandre,1,The man in the iron mask
"Dumas, A",2,"The Three Musketeers,The Three Musketeers"
"Dumas, Alexandre",2,"Man in the iron mask::Immortal illustrated classics,Three musketeers:Immortal illustrated classics"
"Dutta, Bindra",1,English  marvel: Coursebook
"Dutta, S.",5,"Growing with Grammar 8,Millennium's Social Science,Social science 10,Stories of Mythology,The Blue Book of GK."
"Dutta, Shushmita",2,"Domains of knowedge,Domains of knowedge"
"Eduliji, D",6,"Computer @ School,Computer@ School,Computer@School,Computer@School,Computer@School,Computers@ School"
"Edulji, D",2,"Computer @ School,Computer @ School"
Edwards Rick,1,Science(ish)The peculiar science behind the movies
Einstein Albert,1,The world as i see it
"Eldin, P",1,Amaging Blunders and Bungiles
Elevate,1,Breathing in bodhi
"Eliot, George",14,"Adam Bede,Daniel Deronda,Felix holt,the radical,Middlemarch,Selected works of George Eliot,Silas marner,Silas marner,Silas marner,Silas Marner :the lifted veil,brother jacob,Silas Marner: George Eliot,Silas Marner:the weaver of ravaloe,Silas Marner:the weaver of ravaloe,Silas Marner:the weaver of ravaloe,The mill on the floss"
"Estibeiro, P J",1,Let''s Learn Computer
Evergreen Publication India Ltd.,3,"Solved papers in biology,Solved papers in Chemistry,Solved papers in Physics"
"Fanthome, F",3,"Horrid Henry 's double dare,Knowledge Plus : A Graded course in GK.,Knowledge Plus : A Graded course in GK."
"Fanthome, F and Fanthome, D",1,My Big Book of G.K : General Knowledge
"Fanthome, F.",1,New Primary Science
Fara Patricia,1,An enterainment for angels
"Fatima, N.",1,Science Alive
"Faustin, J.",1,Young Explorer
"Faustin, R F J?at al",1,Young Explorer
"Faustin,fr.Joe",1,Social science refresher
"Fdcc, L. G.",2,"Golden Ways,Golden Ways"
Ferguson Kitty,1,Stephen Hawkings : a life well lived
"Fernando, F.",2,"G. K. Around the Globe,GK Around the globe 3"
Firefly books,4,"Magic touch Reader: collction of stories,Magic touch Reader: collction of stories,Magic touch Reader: collction of stories,Magic touch Reader: collction of stories"
Fleming Ian,10,"Casino Royale,Diamonds are forever,Doctor no,For your eyes only,Goldfinger,Octopussy,On her majesty's secret service,The man with the golden gun,Thunderball,You only live twice"
"Foe,Daniel De",1,Adventure of Robinson Crusoe:Immortal illustrated classics
Forsyth Frederick,3,"The cobra,The fist of God,The veteran"
Francesca Simon,39,"A giant slice of Horrid Henry 3 books  in 1,A handful of Horrid Henry,A hat trick of Horrid Henry 3 books in 1,Don't be Horrid Henry,Horrid  Henry's monster movie,Horrid Henry,Horrid Henry : mighty joke book,Horrid Henry 's big bad book,Horrid Henry and mummy's curse,Horrid Henry and the abominable snowman,Horrid henry and the Bogey babysitter,Horrid Henry and the comfy black chair,Horrid Henry and the football fiend,Horrid Henry and the mega mean time machine,Horrid Henry and the secret club,Horrid Henry And the zombie vanpire,Horrid Henry author visit,Horrid Henry gets rich quick,Horrid Henry joke book,Horrid Henry meets the queen,Horrid Henry robs the bank,Horrid Henry rules the world,Horrid Henry tricks the tooth fairy,Horrid Henry underpants,Horrid Henry wakes the dead,Horrid Henry's : stinkbomb,Horrid Henry's christmas cracker,Horrid Henry's christmas play,Horrid Henry's dreadful deeds,Horrid Henry's evil enemies,Horrid Henry's favourite jokes 3 books in 1,Horrid Henry's haunted house,Horrid Henry's hol"
Frank A,3,"The Diary of a Young Girl: Anne Frank,The Diary of a Young Girl: Anne Frank,The Diary of a Young Girl: Anne Frank"
Frank L. and Narula P.,1,Together with science
"Frank, Anne",11,"Diary of a young girl,Diary of a young girl,Diary of a young girl,Diary of a Young Girl,Diary of a young girl,Diary of a young girl, class 10,Diary of a young girl, class 10,Diary of a young girl, Term, 1 &-2,Diary of a young girl,Term, 1 &-2,The dairy of a young girl: class 10,The diary of a young girl"
"Frank, Anne; Keller, Helen",1,"Together with novels the diary of a young girl and the story of my life: term 2, class 10"
"Frank, L and Narula, P",1,Together with Science
"Frank, L.",1,Together with science
"Franklin, M and Gomm",1,Golen Gate : English for schools
Full marks,1,English Communication: Term 1
"Galgotia, N",4,"Computer In Schools,Computer in Schools,Computer in Schools,Computer in Schools"
Gambtoo Vinod,2,"A masterpiece of essays 3,A masterpiece of grapghs IELTS"
"Gandhi, M K , Dass, R S and Abhishek",1,Viva Voce : Lab Manual Physics
"Gandhi, P",2,"Business Studies,Business Studies"
"Gandhi, Poonam",3,"Business studies,Business studies,Business studies: class 11"
"Gangal ,J.K.",2,"Roots and wings 8,Together with Get going grammar"
"Gangal, J K and Khanna, k",13,"Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,Loard of the Flies,The canterville ghost: Oscar Wilde,The canterville ghost: Oscar Wilde,The Hound of the Baskervilles: Arthur convan Doyle,The Hound of the Baskervilles: Arthur convan Doyle,The Hound of the Baskervilles: Arthur convan Doyle,The story of my Life,Three Men in a Boat: Jerome K Jerome,Up From Slavery: Booker T.Washington"
"Gangal, J K and singh, M",5,"My book of Interctive English,My book of Interctive English,My book of Interctive English,My book of Interctive English,My book of Interctive English"
"Gangal, J.K.",1,Interactive english
"Gangopadhya, N.",1,My big book of Values
"Gangopadhyay, N",8,"New Tell me more : General Knowledge with Life skill & Values,New Tell me more : General Knowledge with Life skill & Values,New Tell me more : General Knowledge with Life skill & Values,New Tell me more : General Knowledge with Life skill & Values,Tell me more,Tell me more,Tell me More General Knowledge,Tell me more: General Knowlede,Life Skills and Values"
"Gangopadhyay, N?et al",2,"Tell me More : G.K & Life Skills,Tell me More General Knowledge & Life Skills"
"Ganguli, S., Aggarwal, M and Kumar, S",1,Understanding History & Civics
"Gardner, N",1,New World Environmental Studies
"Garg, KA",1,Steps to Social Science
"Garg, P. K.",4,"Maths Beyond 8,Maths bliss : textbook 7,Practice Exercises in Mathematics,Questions for Revision in Mathematics 12"
"Garg, P.K.",7,"ABD's Questions for Revision in Mathematics 11,Practice Exercises in Mathematics,Questions for Revision in Mathematics  10,Questions for Revision in Mathematics 9,Questions for revision in mathematics: term 2, class 10,Questions for revission n Mathematics,class 12,Questions for revission n Mathematics,term 2- class 9"
"Garg, Sandeep",6,"Business studies, class 11,Business studies, class 12,Indian economic development, class 11,Introductory macroeconomics, class 12,Introductory Microeconomics, class 12,Statistics for economics, class 11"
"Garg,Bhavna",2,"Laboratory manual: Science,  class 10, term 1 & 2,Laboratory manual: Science,  class 9, term 1 & 2"
"Gasper, D",1,The Poem Tree
"Gaund, Kanaiyalal",4,"Kahani parayan: part 1,Kahani parayan: part 3,Kahani parayan: part 4,Kahani parayan: part 5"
"Gausin, V",2,"Computer,Computer World"
"Gayatonde, N.",1,Treasures of life
"Gayatri M., Vidhu N.",1,Headstart Science
Geeta Budhhiraja,7,"Maths mate 6,Sneh Prabha Hindi Pathyapustak,Sneh Prabha Hindi Pathyapustak,Sneh Prabha hindi pathyapustak,Sneh prabha hindi vyakaran: class 6,Sneh prabha hindi vyakaran: class 7,Sneh prabha hindi vyakaran: class 8"
Geetha Iyer,3,"Enhanced science 7,Enhanced science now 6,Enhanced science now 8"
"George, M and Bhatia, P",2,"Mile stone: History,New milestones 8"
"George, M?et al",6,"Milestone Social Science:  History, Geography, Social and political life,Milestone Social Science:  History, Geography, Social and political life,Milestone Social Science:  History, Geography, Social and political life,Milestone Social Science:  History, Geography, Social and political life,Milestone Social Science:  History, Geography, Social and political life,Milestone Social Science:  History, Geography, Social and political life"
"George, M..et al",1,Mile stone: Social science History Geography Social and Political Life
"George, P J",1,Living Mathematics
"George, p.J.",1,Living Mathematics
"Ghose, V",1,G K Genius
"Ghosh, J",3,"Climb with cornerstone 8,General science 8,Hands on Maths"
"Ghosh, J B, gandhi, H and Kaur, T",3,"Hands-on Maths,Hands-on Maths,Hands-on maths 7"
"Ghosh, J. B.",1,Hands- on Maths
"Ghosh, Mahuya de",4,"General science : integrated coursebook 7,General science integrated course book,General science integrated course book,General science integrated course book"
"Ghosh, Rahul",7,"Digital wold computing ICT: class 1,Digital wold computing ICT: class 3,Digital wold computing ICT: class 4,Digital wold computing ICT: class 5,Digital wold computing ICT: class 6,Digital wold computing ICT: class 7,Digital wold computing ICT: class 8"
"Ghosh, S, Sibbal, N and Budhiraja, A",1,Evolutions we and thee world Social Science
"Gillani, A, Kaul, M and sagathan, B",1,The Grammar Tree
"Goel, A, Verma, A S and Divya",7,"Science Lab Skills,Science: Multiple choice Questions,Science: Multiple choice Questions,Together with science : Lab Skills,Together with science: Lab Skills,Together with science: Lab Skills,Together with science: Multiple Choice Questions"
"Goel, D P , Ummat, A and Menon, S",1,New Rediant Science: An Integrated Approach
"Goel, D. K.; Goel, Rajesh; Goel, Shelly",10,"Accountancy 11,Accountancy 11,Accountancy part A Vol 1,Accountancy part A VOL 2,Accountancy part A vol.1,Accountancy part A volume I,Accountancy part A volume II,Accountancy: accounting for partnership firms, part A, vol 1, class 12,Analysis of financial statements part B 12,Analysis of financial statements: part B, class 12"
"Goel, D.K.",3,"Accountancy , Part-A,Accountancy , Part-B,MCQs in accountancy 12"
"Gokhani, L B and Shah, B L",1,Gala''s Pocket Dictionary
"Gomber, K L and Gogia, K L",8,"Fundamental Physics,Fundamental Physics vol .1 12,Fundamental physics vol 2 12,Fundamental Physics vol.2,Pradeep's Fundamental physics,Pradeep's fundamental physics vol 1,Pradeep's fundamental physics vol 2,Pradeep's science physics 10"
"Gomber, K.L.",2,"Fundamental Physics vol 2, class 11,Pradeep's science physics"
"Gomber, K.L.; Gogia. K.L.",1,"Fundamental Physics vol . 1, class 11"
"Gonsalves L,",2,"Golden Way,New Golden WAYS"
"Gonsalves, F l",1,Golden ways
"Gonsalves, L",1,Golden Ways
"Gosai, V",1,Computer World
Goswami Krushan Kumar,1,"Garima hindi vyakaran: class 9 & 10, course B"
"Goswami, Supriya",1,Super 20 english comunicative sample papers: class 10
"Gowel, B K and sangeeta",3,"Science,Science,Science"
Goyal Brothers Prakashan,4,"Sample Papers with Model Test Papers in Foundation of Information Technology,Sample Papers with Model Test Papers incommunicative english,Sample papers: model test papers in science,Sample papers: model test papers in science"
"Goyal, C",2,"Computer science with python 12,Learning edge Social studies"
"Goyal, G.",1,Periwinkle Environmental Studies
"Goyal, S",1,chemistry practical Notebook
"Goyal, S and Singh, B",1,Chemistry: Practical Based MCQ with Hots Questions
"Goyal, S.K.",4,"Alexander the great :a biography,Algebra,Coordinate geometry,Differential Calculus fpr JEE main & advanced"
"Goyal,J.C.",1,Living Values
Grag. P K,1,Practice Exercise in Mathematics
Gray John,1,"Men are from Mars ,women are from Venus"
"Green,John",3,"Looking for Alaska,The fault in our stars,Turtles all the way down"
"Grewal, G.",1,Online with computers
"Grewal, GS",1,Online with Computers
"Grewal, T S",1,Accountancy: Self-Tutor
Grewal.T.S,2,"Analysis of financial statements,Double entry book keeping :accounting for parternership firms .vol-I"
Gribbin John,1,Einstein's master work 1915 and the general theory of rela
Grisham John,2,"A painted House,The litigators"
"Grover, M",3,"Computer Era,Computer Era,Computer Era"
"Grover, M.",1,Computer Era
"Guha, I & Guha, K.",3,"MATHEMATICS,The Grammar Tree,The Grammar Tree"
"Guha, I and Guha K",1,The Garmmar Tree
"Guha, I and Guha, K",1,The Grammar Tree
"Guha, T",2,"Gulliver Travels: Into several remote nations of the world,Three Men in a Boat: Jerome K Jerome"
"Gulanti, Saroj",1,Shrusti sanskrit vyakaan
Gulati Saroj,4,"CBSE Exam-kit in  Sanskrit 10,CBSE Exam-kit Sanskrit,CBSE Exam-kit Sanskrit,CBSE Exam-kit Sanskrit"
"Gulati, H C",3,"English Grammar and Composition,English: Co- Build,Graded English Grammar 7"
"Gulati, H C., Nagpal, A and Gupta, V",2,"Graded English Grammar and Composition,Graded English Grammar and Composition"
"Gulati, H.C. Et. Al",3,"English grammar and compositon,English grammar and compositon,English grammar and compositon"
"Gulati, R",5,"Computer  wizard,Computer wizard,Computer wizard,Computer wizard,Computer wizard"
"Gulati, S.",1,Grammatica : A book of english grammar & Composition
"Gulshan, R",2,"Gulliver Travels: Jonathan Swift,The story of my Life"
"Gupt, Sukhapal",7,"Abhayash pustika rimzim: class 2,Abhayash pustika rimzim: class 4,Abhayash pustika rimzim: class 5,Abhayash pustika vasant: class 6,Abhayash pustika vasant: class 7,Abhayash pustika vasant: class 8,BUSINESS STUDIES"
"Gupta ,Vikas",2,"Foundation of information theory,Junior maths 5"
Gupta R.G.,6,"Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions"
Gupta Urmila,1,Vyakaran pravesh- Course B
Gupta Vipin,5,"CBSE Exam-kit Hindi,CBSE Exam-kit Hindi,CBSE Exam-kit Hindi,CBSE Exam-kit in  Hindi 10 course B,Ratnadip : Pathyapustak 6"
"Gupta, A",4,"English coursebook 6,English Express,Sakshi : pathmala 5,Science"
"Gupta, A d",3,"Junior Maths,Junior Maths,Junior Maths"
"Gupta, A D and Banerjee, A",3,"Junior Maths,Junior Maths,Junoor Maths"
"Gupta, A S and Subramaniam, V",7,"Enjoying Grammar: Grammar and Composition for schools,Enjoying Grammar: Grammar and Composition for schools,Enjoying Grammar: Grammar and Composition for schools,Enjoying Grammar: Grammar and Composition for schools,Enjoying Grammar: Grammar and Composition for schools,Enjoying Grammar: Grammar and Composition for schools,Enjoying Grammar: Grammar and Composition for schools"
"Gupta, A. D.",1,Junior Maths
"Gupta, A. Das",2,"Junior Maths, class 4,Junior Maths, class 5"
"Gupta, A. Das; Banerjee",1,"Junior Maths, class 3"
"Gupta, Anju et.. al.",3,"Enjoying Grammar,Enjoying grammar,Enjoying grammar"
"Gupta, Archana., et all",1,"Together with social science with solution: term 2, class 10"
"Gupta, Ashit Das; Prasad,Surya Bhushan",1,Modern approach to intermediate trigonometry
"Gupta, Ashit Das; Thakur, S.N",1,Modern approach to intermediate statistics and probability
"Gupta, Asit Das",6,"Junio maths,Junio maths,Junio maths,Junio maths,Junio maths,Junior maths 5"
"Gupta, Asit Das; Banerjee, Anindita",1,Junior Maths: class 2
"Gupta, B L",2,"Introductory Micro and Macro economics,Introductory Micro and Macro economics"
"Gupta, B. L.",2,"Introductory macroeconomics: including multiple choice and value based questions, class 12,Introductory microeconomics: including multiple choice and value based questions, class 12"
"Gupta, B.,Kantt, N G and Husain, S",1,New Learning Science
"Gupta, B.L.",2,"Introductory macroeconomics,Introductory macroeconomics"
"Gupta, Bansal",1,"Mathematics: Vol 2, Class 12"
"Gupta, Bindoo",2,"Learning science,New learning science 7"
"Gupta, I",8,"Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Learning Books,Computer Loearning Books"
"Gupta, K and Jacob, A",1,Laboratory skills Biology
"Gupta, K K",3,"Everyday Science,Science workbook,Science: workbook"
"Gupta, K K and Satalin,M",1,The Joy of Science
"Gupta, K K; Malhotra, S",1,The Joy of Science: A text book of Science and technology
"Gupta, K.; Sharma, K.",1,Workbook cum activity book looking around: class 3
"Gupta, N",5,"Accountancy: Accounting for partnership firms and companies,Analysis of Financial statements,Exam Mantra sample Question papers Mathematics,Exam Mantra sample Question papers Mathematics,Exam Mantra sample Question papers Mathematics"
"Gupta, N and Mathur, A",1,Sanskar: Including Values in Children
"Gupta, P K and sahni, N",1,Science: A book of science & Technology
"Gupta, P.",2,"Mathematics 9,The world Around us"
"Gupta, Parmanand",5,"Comprehensive Mathematics vol 1,Comprehensive mathematics vol.2,Golden Sanskrit,Golden Sanskrit , class 10,Prayogik Sanskrit Vyakaran"
"Gupta, R B ., Saxena., S P and Arora, K",2,"Science,Science: With Sample Papers"
"Gupta, R C, saxena, S P and Arora, K",6,"Science 10,Science: A book with a Difference,Science: A book with a Difference,Science: A book with a Difference,Science: Assignments & Practice Material,Science: Assignments & Practice Material"
"Gupta, R G and Gopal P R",1,Laboratory Manual Mathematics
"Gupta, R G and Gupta, P",2,"Composite Mathematics,Composite Mathematics"
"Gupta, R K",11,"Comprehensive Communicative,English Communicative Test Papers,English communivative,English communivative,English coursebook 8,English language and literature,Ocen of Knowledge,Ocen of Knowledge,Ocen of Knowledge,Ocen of Knowledge,Question Bank in English Term 10"
"Gupta, R K , Dahiya, R C and Chabra, V",1,"English Communicative Test Papers, Vol. 2"
"Gupta, R K ., Saxena., S P and Arora, K",1,Science: With Sample Papers
"Gupta, R K and Dahiya, R C",1,English Communicative Test Papers
"Gupta, R S, Gangal, S K and Nair, R",2,"Sure Success in CBSE English core: Reading, Writing, Grammar, Literature and conversation skills,Sure Success in CBSE English core: Reading, Writing, Grammar, Literature and conversation skills"
"Gupta, R. G.",2,"Composite mathematics for us,Leboratory  Manual Mathematics"
"Gupta, R. K.",1,Ocean of Knowledge : An Illustrated book on general Knowledge
"Gupta, R.C.",2,"Science with sample paper,Term 1& 2,Science with sample paper,Term 1& 2"
"Gupta, R.G.",1,Self Help Composite Mathematics
"Gupta, R.K.",4,"Chemistry: question Bank Class 12,English Communicative with sample papers,English Communicative with sample papers,Ocean of Knowledge An Illustrated Book on GK."
"Gupta, Ram Awatar",2,"Abhivyakti : Pathyapustak 6,examguru mathematics: prepare, practice, perform, class 12"
"Gupta, Rama",4,"Garima supprot book,class 1,Garima supprot book,class 2,Garima:text-cum-workbook, class 1,Garima:text-cum-workbook, class 2"
"Gupta, RK",1,Ocean of Knowledge : An illustrated Book on General Knowledge
"Gupta, S",19,"Awareness social science 10,Awareness social science 6,Awareness social science 8,Awareness social sciences 7,Buiiding Bridge : A book of Values and Life Skill,Building Bridge: A book on values and life skill,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology,Frolic grammar 7,Frolic grammar 8,Gyan-vatika : pathyapustak 5,Gyan-vatika : pathyapustak 5,Insight Computer : A Journey Towards the Power of Computer,Insight Computer : A Journey towards the world of computer,Insight Computer : A journey Towards the World of Comuter,Insigt Computer: A journey Towards the world of Computer,Maths xpress,Maths xpress"
"Gupta, S C and kappor, V K",1,Funadamental of mathematical statistics
"Gupta, S K",2,"Abc of Physics Part-1,Abc of Physics Part-2"
"Gupta, S K and Gangal A",1,Composite Mathematics
"Gupta, S K and Gangal, A",6,"Composite Mathematics,General Knowledge Today,General Knowledge Today,General Knowledge Today,General Knowledge Today,General Knowledge Today"
"Gupta, S P",2,"Resoueces and Development Geography,Social and Political Life"
"Gupta, S.",4,"Awareness social sciences 6,Building Bridges : A book on values and life skill,Building Bridges : A book on values and life skills,Insight Computer"
"Gupta, S. C.",4,"A simple study of physics: class 10,A simple study of physics: class 9,A simple study of physics: class 9,Social Studies : An Environmental Approach"
"Gupta, S. K.",4,"Composite mathematics For middle Classes,General Knowledge Today,General Knowledge Today,Mathematics today"
"Gupta, S. K.; Gangal, Anubhuti",6,"MathsWiz: a course in mathematics, class 1,MathsWiz: a course in mathematics, class 2,MathsWiz: a course in mathematics, class 5,MathsWiz: a course in mathematics, class 6,MathsWiz: a course in mathematics, class 7,MathsWiz: a course in mathematics, class 8"
"Gupta, S. P.",1,Our Environment Geography
"Gupta, S.K",2,"General knowledge today,General knowledge today"
"Gupta, Sandeep",2,"Foundation of information technology , class 10,Foundation of information technology , class 9"
"Gupta, Satish K.",4,"Moderns abc of physics: part 1, class 11,Moderns abc of physics: part 1, class 12,Moderns abc of physics: part 2, class 11,Moderns abc of physics: part 2, class 12"
"Gupta, Satysree",2,"Maths xpress,Maths xpress"
"Gupta, SC and Mathew, A",1,Social Studies:An Environmental Approach
"Gupta, Seema",6,"Building bridges,Building bridges,Building bridges,Curiosity quotent,Curiosity quotent,Grammar Candy"
"Gupta, Urmila",2,"Hindi vyakaran parichay: class 10, couse B,Hindi vyakaran parichay: class 9, couse B"
"Gupta, V",3,"New Era English Readetr,Trek Primary Social Studies,Trek Primary Social Studies"
"Gupta, V and Rastogi, P",1,New Era English Reader
"Gupta, V.",3,"New science in everday life,Trek : Primary Social Studies,Trek : Primary Social Studies"
"Gupta, Vaishali",4,"Live wire interactive computer sciece,Live wire interactive computer sciece,Live wire interactive computer sciece,Live wire interactive computer sciece"
"Gupta, Vibha",1,"All in one: complete study resource  in English core, class 12"
"Gupta,A.",2,"English,Enjoying Grammar : Grammar and composition for school"
"Gupta,Aarchna",1,"Express english grammar a& composition, class 9th& 10th"
"Gupta,B.L",3,"Indian conomic Development,Indian Economic Development 12,Introductory macroeconomics 12"
"Gupta,R K",2,"Ocen of Knowledge,Science 10"
"Gupta,R. G.",2,"Laboratory manual Mathematics,Perfect composite mathematics 5"
"Gupta,R.C.",1,"Golden science with smple paper, term-2"
"Gupta,R.G.",3,"Laboratory manual mathemetics-Revised according to national carriculam fremework prepared by NCERT,Laboratory manual mathemetics-Revised according to national carriculam fremework prepared by NCERT,Laboratory manual mathemetics-Revised according to national carriculam fremework prepared by NCERT"
"Gupta,Rama",1,Utkarsh Textbok
"Gupta,S.",5,"Awareness social sciences 7,Awareness social sciences 7,Building Bridge : A book on values and life skills,NCERT Social science practice book 7,Social sciences :workbook 6"
"Gupta,S. C.",2,"A simple study of physics 10,Social Studies : An Environmental Approach"
"Gupta,S.C.",2,"Sample study of Physics,  Class 10,Sample study of Physics, Class 9"
"Gupta,Seema",1,Grammar Candy
Gurpreet Bindra,1,Chips and Bits : - Information technology outlook
"Gusain, V",9,"Computer,Computer  world,computer world,computer world,Computer world,computer world,Computer World,computer world,computer world"
"Gusain, V.",1,Computer world
"Hajela, A",2,"Focus on Social science,Focus on Social Sciences"
Harari Noah Yuval,4,"21 lessons for the 21st century,Raavan:enemy of aryavarta,Ram: scion of ikshvaku,Sapiens:a brief history of humankind"
"Hardy, Thomas",7,"Far from the madding crowd::Immortal illustrated classics,Matyor of casterbridge:Immortal illustrated classics,Mayor of casterbridge,Outside the gates of the world:selected short stories,Tess of the D'Urbervilles,The mayor of Casterbridge tess of the D'urbervilles,The return of the native"
"Hariprasad, M",1,Fantastic Grammar 6
Harish Sudan/Girija,1,How to Draw & Colour -2
"Haryal, Dolly; Singh, Namrata",1,"Together with social science with solution: term 1, class 9"
Hassija Rajesh,2,"Maths ace prime 5,Maths Ace prime 7"
Hector Garcia and Francesc Miralles,1,Ikigai : the japanese secret of a long and happy life
"Hema Ranganathan, Satyasree Gupta",1,"Maths xpress, class 8"
"Hill, N",1,The master key to riches
"Hill, Napoleon",3,"52 lessons for life,Think and grow rich,Think and grow rich"
"Hobson, A",1,The Oxford of difficult words
Holly Jackson,1,A good girl's guide to murder
"Holmes, S",1,The Hound of the Baskervilles: Arthur convan Doyle
"Horsburgh, D and Horsburgh, N",1,New Oxford modlishern english
"Horsburgh, D and Horsburgh,N",2,"New Oxford Modern English,New oxford Modern English"
"Horsburgh, D.",1,New oxford modern English
"Horsburgh,N",1,Oxford Reading Circle
"Hoursburgh, N",4,"Plum Girl and other Stories,Reading Circle,Reading Circle,The Indigo Jckal and other stories"
Integrated Coursebook,5,"Manasvi : pathmala 5,Mathematics integrated coursebook,Mathematics integrated coursebook,Mathematics integrated coursebook,Mathematics integrated coursebook"
